20150101,3
20150102,2
20150103,3
20150104,7
20150105,9
20150106,11
20150107,6
20150108,5
20150109,8
20151009,6
20151109,7
20151209,7
20151309,7
20151409,8
20151509,11
20151609,10
20151709,10
20151809,9
20151909,10
20152009,8
20152109,7
20152209,8
20152309,10
20152409,11
20152509,14
20152609,16
20152709,10
20152809,11
20152909,11
20153009,8
20153109,7
20150201,7
20150202,9
20150203,8
20150204,8
20150205,11
20150206,11
20150207,11
20150208,13
20150209,12
20151009,10
20151109,11
20151209,11
20151309,13
20151409,9
20151509,12
20151609,11
20151709,12
20151809,13
20151909,11
20152009,10
20152109,12
20152209,8
20152309,11
20152409,9
20152509,8
20152609,10
20152709,11
20152809,11
20150301,7
20150302,12
20150303,8
20150304,9
20150305,11
20150306,12
20150307,12
20150308,12
20150309,13
20151009,11
20151109,12
20151209,15
20151309,15
20151409,15
20151509,9
20151609,12
20151709,12
20151809,14
20151909,11
20152009,11
20152109,12
20152209,11
20152309,11
20152409,12
20152509,11
20152609,17
20152709,16
20152809,13
20152909,9
20153009,15
20153109,13
20150401,12
20150402,13
20150403,10
20150404,10
20150405,14
20150406,13
20150407,15
20150408,15
20150409,16
20151009,11
20151109,12
20151209,10
20151309,8
20151409,13
20151509,13
20151609,14
20151709,19
20151809,16
20151909,20
20152009,20
20152109,15
20152209,13
20152309,9
20152409,9
20152509,12
20152609,14
20152709,18
20152809,14
20152909,15
20153009,12
20150501,16
20150502,15
20150503,17
20150504,17
20150505,14
20150506,16
20150507,20
20150508,23
20150509,23
20151009,19
20151109,17
20151209,18
20151309,15
20151409,17
20151509,16
20151609,19
20151709,17
20151809,23
20151909,21
20152009,20
20152109,24
20152209,20
20152309,19
20152409,18
20152509,15
20152609,18
20152709,21
20152809,23
20152909,24
20153009,21
20153109,21
20150601,20
20150602,15
20150603,18
20150604,21
20150605,22
20150606,24
20150607,25
20150608,25
20150609,23
20151009,22
20151109,21
20151209,20
20151309,21
20151409,25
20151509,28
20151609,23
20151709,22
20151809,22
20151909,21
20152009,21
20152109,26
20152209,24
20152309,24
20152409,24
20152509,28
20152609,28
20152709,31
20152809,29
20152909,30
20153009,27
20150701,33
20150702,30
20150703,28
20150704,29
20150705,35
20150706,28
20150707,23
20150708,26
20150709,28
20151009,24
20151109,18
20151209,24
20151309,22
20151409,23
20151509,24
20151609,23
20151709,25
20151809,32
20151909,30
20152009,25
20152109,23
20152209,23
20152309,24
20152409,18
20152509,22
20152609,18
20152709,21
20152809,22
20152909,26
20153009,29
20153109,29
20150801,27
20150802,27
20150803,25
20150804,22
20150805,17
20150806,22
20150807,24
20150808,21
20150809,24
20151009,24
20151109,32
20151209,29
20151309,26
20151409,19
20151509,20
20151609,23
20151709,25
20151809,28
20151909,25
20152009,22
20152109,21
20152209,25
20152309,24
20152409,23
20152509,22
20152609,24
20152709,27
20152809,20
20152909,20
20153009,18
20150901,15
20150902,15
20150903,16
20150904,19
20150905,18
20150906,17
20150907,20
20150908,18
20150909,22
20151009,24
20151109,25
20151209,23
20151309,18
20151409,17
20151509,17
20151609,18
20151709,16
20151809,14
20151909,15
20152009,17
20152109,17
20152209,17
20152309,16
20152409,17
20152509,16
20152609,17
20152709,16
20152809,18
20152909,19
20153009,19
20151001,18
20151002,13
20151003,19
20151004,19
20151005,19
20151006,20
20151007,16
20151008,17
20151009,20
20151009,17
20151109,15
20151209,14
20151309,15
20151409,15
20151509,18
20151609,19
20151709,16
20151809,13
20151909,14
20152009,16
20152109,13
20152209,13
20152309,13
20152409,12
20152509,16
20152609,15
20152709,16
20152809,11
20152909,14
20153009,14
20153109,14
20151101,10
20151102,11
20151103,11
20151104,7
20151105,11
20151106,10
20151107,10
20151108,9
20151109,11
20151009,8
20151109,10
20151209,8
20151309,10
20151409,8
20151509,8
20151609,5
20151709,12
20151809,6
20151909,8
20152009,7
20152109,7
20152209,7
20152309,5
20152409,8
20152509,7
20152609,7
20152709,7
20152809,5
20152909,5
20153009,8
20151201,11
20151202,14
20151203,14
20151204,8
20151205,8
20151206,9
20151207,9
20151208,12
20151209,10
20151009,12
20151109,12
20151209,6
20151309,6
20151409,5
20151509,4
20151609,5
20151709,4
20151809,6
20151909,5
20152009,6
20152109,5
20152209,4
20152309,3
20152409,2
20152509,3
20152609,3
20152709,4
20152809,4
20152909,5
20153009,2
20153109,2
